"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"164","C44 vs C72",1,0.918166707807208,8.5538341714221,0.322131791446824,0.001,0.0010709939148073,"*"
"165","C44 vs C73",1,0.9013264939266,8.47411819187647,0.320090668571418,0.001,0.0010709939148073,"*"
"166","C44 vs C74",1,0.785998112948724,6.1759347946897,0.255457952180044,0.001,0.0010709939148073,"*"
"167","C44 vs C86",1,1.12527768983854,8.58093206820765,0.349088962306112,0.001,0.0010709939148073,"*"
"168","C44 vs C15",1,0.707549680641617,4.86170161920888,0.222384410138373,0.001,0.0010709939148073,"*"
"169","C44 vs C16",1,1.35797642718945,12.0887888258411,0.401770536388588,0.001,0.0010709939148073,"*"
"170","C44 vs C33",1,1.21534671512673,8.85698361725407,0.329783260230459,0.001,0.0010709939148073,"*"
"171","C44 vs C36",1,1.23527047093095,10.6877113258253,0.372553641677369,0.001,0.0010709939148073,"*"
"172","C44 vs C56",1,0.894142253517573,6.77544799148752,0.273474287682526,0.001,0.0010709939148073,"*"
"173","C44 vs C87",1,1.02043792121624,6.83469764162038,0.275207604306248,0.001,0.0010709939148073,"*"
"174","C44 vs C88",1,1.24436486166924,10.1464123669461,0.360486879630229,0.001,0.0010709939148073,"*"
"175","C44 vs C89",1,1.46487784996524,12.9464428362665,0.418349950744401,0.001,0.0010709939148073,"*"
"176","C44 vs C90",1,1.06203836595741,8.85605349541902,0.329760048211463,0.001,0.0010709939148073,"*"
"177","C44 vs C91",1,1.63374139925389,14.315194868671,0.442986493717521,0.002,0.0020665362035225,"*"
"178","C47 vs C52",1,0.557186690101353,3.81266465696004,0.174791329574834,0.001,0.0010709939148073,"*"
"179","C47 vs C55",1,1.0188958372931,8.70378905029942,0.325938354062973,0.001,0.0010709939148073,"*"
"180","C47 vs C58",1,1.00114969359962,7.39337428730392,0.291153676689609,0.001,0.0010709939148073,"*"
"181","C47 vs C8",1,1.64073653334169,14.8075847051592,0.451346383412083,0.001,0.0010709939148073,"*"
"182","C47 vs C13",1,0.691160621676493,5.03319254090062,0.218519101594929,0.001,0.0010709939148073,"*"
"183","C47 vs C17",1,1.41819739739576,12.5795581335157,0.411371481516873,0.001,0.0010709939148073,"*"
"184","C47 vs C18",1,0.792854278170634,4.80341645545674,0.210644596384912,0.001,0.0010709939148073,"*"
"185","C47 vs C28",1,1.65885476300019,15.7168556288899,0.466142388895336,0.001,0.0010709939148073,"*"
"186","C47 vs C59",1,1.31821349440667,11.6283986787229,0.392474760611131,0.001,0.0010709939148073,"*"
"187","C47 vs C65",1,1.3535258010581,10.17229363883,0.374362715714712,0.001,0.0010709939148073,"*"
"188","C47 vs C67",1,1.84934181489121,19.4284071379975,0.519081858502968,0.001,0.0010709939148073,"*"
"189","C47 vs C70",1,1.00144310396852,7.86666767403304,0.304123738440812,0.001,0.0010709939148073,"*"
"190","C47 vs C72",1,1.76956216105528,16.2899095873612,0.475064232696765,0.001,0.0010709939148073,"*"
"191","C47 vs C73",1,1.62206510640576,15.0676959614427,0.45566210536748,0.001,0.0010709939148073,"*"
"192","C47 vs C74",1,1.13214457105087,8.80652730192162,0.328521751539608,0.001,0.0010709939148073,"*"
"193","C47 vs C86",1,0.846902750399785,6.38748849377588,0.285315098902305,0.001,0.0010709939148073,"*"
"194","C47 vs C15",1,0.674953016754198,4.59461729629548,0.2127667850397,0.001,0.0010709939148073,"*"
