Domain,Phylum,Class,Order,Family,Genus,Species,best_hit
Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,ASV 53: 7c0c192574a53604e87ff64204f2408f:g__Candidatus_Magasanikbacteria
Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,ASV 54: b478634f8d6a268efe7837a17d88a237:g__Candidatus_Magasanikbacteria
Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,ASV 55: 7dda59f0b25cd1d800b5d824d6ee09ad:g__Candidatus_Magasanikbacteria
Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,ASV 56: 90f97bf986b9c2d10cc3aa27bb072600:g__Candidatus_Magasanikbacteria
Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,ASV 57: d0605c974b299190198732dfbac079d3:g__Candidatus_Magasanikbacteria
Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,ASV 58: 7c1cb3f6bbe767a23896710ac5ad3b44:g__Candidatus_Magasanikbacteria
Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,ASV 59: ca2393fbf8f70dc657cf0c91992740e5:g__Candidatus_Magasanikbacteria
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,g__Saccharimonadales,ASV 60: 8250949c4647c36a43bddae8d2dab23f:g__Saccharimonadales
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,g__Saccharimonadales,ASV 61: ad38ca8386da22f1b2885ad589ba325f:g__Saccharimonadales
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus_Saccharimonas,g__Candidatus_Saccharimonas,ASV 62: 47036145909db87e596698fb7e1c21a9:g__Candidatus_Saccharimonas
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus_Saccharimonas,g__Candidatus_Saccharimonas,ASV 63: 65ce930572fd9a4dd8bc19fec24a6d07:g__Candidatus_Saccharimonas
Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,f__Ardenticatenaceae,f__Ardenticatenaceae,ASV 64: fbc11def88848dbebc0081045ef00880:f__Ardenticatenaceae
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),g__Absconditabacteriales_(SR1),ASV 65: 03bef953a0f741152cf27028c4ee4ced:g__Absconditabacteriales_(SR1)
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,Candidatus_Woesebacteria,Candidatus_Woesebacteria,Candidatus_Woesebacteria,ASV 66: 44f64dc9f33ba4821e2aa60d4511a6fc:Candidatus_Woesebacteria
Bacteria,Bacteroidota,SJA-28,SJA-28,SJA-28,SJA-28,g__SJA-28,ASV 67: 415cf3680ed9bdf705ae45d46a3679cf:g__SJA-28
Bacteria,Bacteroidota,SJA-28,SJA-28,SJA-28,SJA-28,g__SJA-28,ASV 68: bbe369e034908e97771752add50b9151:g__SJA-28
Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,g__Abditibacterium,ASV 69: 065b10aa86d31d872ba80a86c6ddb886:g__Abditibacterium
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,g__Candidatus_Amoebophilus,ASV 70: 66a4d19cf8284681d0891323bc0aed24:g__Candidatus_Amoebophilus
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Cardinium,g__Candidatus_Cardinium,ASV 71: cca400f95d013f109509f0ee6c1a7af3:g__Candidatus_Cardinium
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,g__Algoriphagus,ASV 72: 058bbe195863b1a47530c685ad7799c8:g__Algoriphagus
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,g__Algoriphagus,ASV 73: 978c4858a4028be0bbe6135dfae59f48:g__Algoriphagus
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Nibribacter,g__Nibribacter,ASV 74: d32549557020535317e23e241db470e4:g__Nibribacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 75: a5fb82520bc20a958ecf33a9c45756b9:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 76: 799aa43936647d69f5e2d6a22bd9f481:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 77: 73e669c9fac55f28ef9eaaabeea74274:g__Hymenobacter
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,g__Hymenobacter,ASV 78: 8ce182f62c348c6119536d3bd40f7446:g__Hymenobacter
